Progress,RMS,StR
233,5.981321e-06,nan
234,6.0189996e-06,nan
235,6.0308716e-06,nan
236,6.222875e-06,nan
237,6.1675723e-06,nan
238,5.946098e-06,nan
239,6.0002003e-06,nan
240,5.9782355e-06,nan
241,6.0542e-06,nan
242,5.9716876e-06,nan
243,5.9290887e-06,nan
244,6.0329585e-06,nan
245,6.1392525e-06,nan
246,5.994422e-06,nan
247,6.0852058e-06,nan
248,6.056461e-06,nan
249,6.1160194e-06,nan
250,6.0765956e-06,nan
251,6.1799724e-06,nan
252,5.9226672e-06,nan
253,5.9827603e-06,nan
254,6.10309e-06,nan
255,6.127397e-06,nan
256,6.0508905e-06,nan
257,6.054261e-06,nan
258,6.0440034e-06,nan
259,5.999897e-06,nan
260,6.423875e-06,63.09170900897551
261,6.330225e-06,63.25301763592244
262,6.424052e-06,63.30372671210013
263,6.549212e-06,63.44859326559582
264,6.5443533e-06,63.7992971704897
265,6.597014e-06,64.04758685019382
266,6.4405453e-06,64.26863671009481
267,6.6296066e-06,64.37812982479981
268,6.809792e-06,64.47703983854821
269,7.009423e-06,64.55339256668849
270,7.096445e-06,64.74709420087892
271,6.9933667e-06,65.196246064487
272,7.6038946e-06,64.98453200421582
273,7.769614e-06,65.1534583257886
274,7.73661e-06,65.58740841272217
275,7.77691e-06,65.80013302734075
276,8.147011e-06,65.8193197657985
277,8.364891e-06,66.14843625288691
278,8.354789e-06,66.4283621444905
279,8.804934e-06,66.33459425175042
280,8.933822e-06,66.66167881477708
281,9.229511e-06,66.83009262212965
282,9.879531e-06,66.79159190593643
283,9.92111e-06,67.07326275018806
284,1.0712912e-05,66.99350437990566
285,1.1236239e-05,67.17824506286799
286,1.1835872e-05,67.30886393116945
287,1.3095171e-05,67.16275163938947
288,1.3588639e-05,67.35294516632065
289,1.4682799e-05,67.23858961135765
290,1.5353271e-05,67.34238464761911
291,1.6469961e-05,67.40130626786862
292,1.7611346e-05,67.45123774967038
293,1.821251e-05,67.52304264572612
294,1.9169953e-05,67.47868093199033
295,1.9976038e-05,67.5609092221208
296,2.1795917e-05,67.42313208892686
297,2.3347646e-05,67.33074781548369
298,2.4915847e-05,67.28836858956343
299,2.6312768e-05,67.24409919580265
300,2.8448021e-05,67.12021063471211
301,2.983802e-05,67.2403319180576
302,3.296132e-05,66.99423276416373
303,3.4082765e-05,67.16809235590641
304,3.713651e-05,67.02610541308529
305,3.8917653e-05,67.27519673326724
306,4.1671272e-05,67.21890296134154
307,4.2851374e-05,67.47442735552772
308,4.56019e-05,67.53095354375036
309,4.819441e-05,67.76047985445774
310,5.134998e-05,67.76390435196794
311,5.381464e-05,68.16058090140774
312,5.6477846e-05,68.38996036487762
313,5.8699236e-05,68.65437343696756
314,6.0515154e-05,68.91154350723629
315,6.228861e-05,68.91570275857939
316,6.0799557e-05,69.35655949411832
317,5.953728e-05,69.52625197567058
318,5.8050053e-05,69.5685838651251
319,5.4515327e-05,70.01345225408653
320,5.3171843e-05,69.86236458636259
321,4.98368e-05,70.34111023613306
322,4.9491315e-05,69.98874248780001
323,4.7851074e-05,70.15940236276603
324,4.6920777e-05,70.04313395877249
325,4.5230612e-05,70.30457185312548
326,4.515391e-05,69.69309884722112
327,4.222963e-05,70.1986280393063
328,4.382874e-05,69.45490394879845
329,4.0965377e-05,70.0157730340944
330,4.2536743e-05,69.22991480945265
331,4.0594376e-05,69.65646713037617
332,4.1121628e-05,69.10877984027356
333,3.8388258e-05,69.40518491548104
334,3.887268e-05,68.71906448213069
335,3.6057798e-05,69.13457215577252
336,3.693823e-05,68.47299675017481
337,3.383142e-05,68.8972687109105
338,3.4117336e-05,68.27895102796089
339,3.123216e-05,68.61516311703643
340,3.088002e-05,68.10357298744364
341,2.8046132e-05,68.4074550876436
342,2.7607593e-05,67.96255489208839
343,2.503687e-05,68.2266337694196
344,2.4089682e-05,67.94115657961477
345,2.2475964e-05,67.87921420528252
346,2.0976802e-05,67.8064118535638
347,2.0665577e-05,67.46813740315933
348,1.8660015e-05,67.79584293261189
349,1.979209e-05,66.90359023759646
350,1.6692176e-05,67.6144682421834
351,1.677012e-05,67.11312454800863
352,1.497873e-05,67.37077132320078
353,1.4490336e-05,67.15000438928351
354,1.4364465e-05,66.70439333278638
355,1.28830425e-05,67.08715738880481
356,1.2937511e-05,66.7885747624183
357,1.251803e-05,66.7070871417824
