Progress,RMS,StR
153,1.9739271e-05,55.67156386968974
154,2.004399e-05,55.38857605773003
155,2.0132304e-05,55.14721967889206
156,1.995218e-05,55.00336449275225
157,2.012025e-05,54.784833284478935
158,2.0195259e-05,54.50044946932201
159,2.030372e-05,54.24977568688103
160,2.0280799e-05,53.981861956513114
161,2.0186775e-05,53.79388804048982
162,1.9891862e-05,53.614054210108705
163,1.9677283e-05,53.471214574189865
164,1.9560162e-05,53.30432139587746
165,1.9699648e-05,53.05139840154031
166,1.9267309e-05,53.03899955402695
167,1.8665147e-05,53.009435605896996
168,1.8712339e-05,52.78942680290646
169,1.8681023e-05,52.5954527447536
170,1.862407e-05,52.46551817998152
171,1.799427e-05,52.44630654389533
172,1.751689e-05,52.39942014461434
173,1.7354767e-05,52.216160996288764
174,1.7150947e-05,52.10418843577494
175,1.6697275e-05,52.087080107464445
176,1.6143225e-05,52.06124371653387
177,1.562637e-05,52.03754160835339
178,1.490882e-05,52.05315806276126
179,1.4542777e-05,51.98196708078284
180,1.407766e-05,51.899522436468146
181,1.3731612e-05,51.81513310964797
182,1.3491294e-05,51.72970834050987
183,1.3026875e-05,51.64901440671435
184,1.2581026e-05,51.63039002956801
185,1.22069105e-05,51.60929605630348
186,1.1729603e-05,51.647173831032646
187,1.1339575e-05,51.66253490635376
188,1.1012882e-05,51.602007760090736
189,1.0633517e-05,51.63548515049754
190,1.0219003e-05,51.62343106557283
191,9.772216e-06,51.75429039554886
192,9.544056e-06,51.73168282340542
193,9.259939e-06,51.711253202961814
194,8.888309e-06,51.72781414492682
195,8.3152e-06,51.90852661014081
196,7.968377e-06,52.059320375970486
197,7.823497e-06,52.03625910138052
198,7.3851147e-06,52.041166095892486
199,7.2470853e-06,51.87444409548851
200,7.015786e-06,52.03780230621348
201,6.6342327e-06,52.12586866938701
202,6.5974223e-06,51.83962426128058
203,6.4246337e-06,51.76373560487717
204,6.2585736e-06,51.77037759508731
205,6.081573e-06,51.57204963906992
206,5.866863e-06,51.52067233805844
207,5.904905e-06,51.51746927342482
208,5.6318836e-06,51.44517249033541
209,5.4322168e-06,51.51640811368735
210,5.360642e-06,51.315243639560094
211,5.2224095e-06,51.256989685434384
212,4.9202813e-06,51.303260013949775
213,4.7922217e-06,51.21851253108473
214,4.646375e-06,51.15897119025484
215,4.6654204e-06,50.96033444232897
216,4.672148e-06,50.79907790581133
217,4.4905396e-06,50.786278455266014
218,4.33521e-06,50.809508791500264
219,4.2930137e-06,50.696856518977846
220,4.14379e-06,50.53571420679048
221,3.9899874e-06,50.57300070389768
222,4.06138e-06,50.259334656080306
223,3.924287e-06,50.22429304551336
224,3.6963645e-06,nan
225,3.613154e-06,nan
226,3.6538593e-06,nan
227,3.4778598e-06,nan
228,3.356575e-06,nan
229,3.169407e-06,nan
230,3.2687155e-06,nan
231,3.3447002e-06,nan
232,3.2406952e-06,nan
233,3.345214e-06,nan
234,3.3864972e-06,nan
235,3.2132166e-06,nan
236,3.2952423e-06,nan
237,3.066333e-06,nan
238,3.3290924e-06,nan
239,3.2439837e-06,nan
240,3.121515e-06,nan
241,2.9814194e-06,nan
242,3.1977872e-06,nan
243,3.2605567e-06,nan
244,3.527474e-06,nan
245,3.5673365e-06,nan
246,3.3021788e-06,nan
247,3.3410124e-06,nan
248,3.2408352e-06,nan
249,3.2263806e-06,nan
250,3.468336e-06,nan
251,3.370059e-06,nan
252,3.416504e-06,nan
253,3.6111408e-06,nan
254,3.778526e-06,nan
255,3.7156206e-06,nan
256,3.6541066e-06,nan
257,3.721446e-06,nan
258,4.027952e-06,46.94208254840336
259,4.161954e-06,47.01116064807542
260,4.278296e-06,46.886959420500844
261,4.110892e-06,46.98162880947221
262,4.2065126e-06,46.988486020441485
263,4.382118e-06,46.9477474301401
264,4.4898643e-06,46.99008663961658
265,4.7793906e-06,46.8931064443407
266,4.864542e-06,46.978534057604016
267,5.061145e-06,46.92061301160144
268,5.2969867e-06,46.819509255241314
269,5.4557263e-06,46.95103763039179
270,5.830072e-06,46.92583786686809
271,5.6973317e-06,47.18428963933904
272,5.9550434e-06,47.2284902900138
273,6.3494613e-06,47.33568362096409
274,6.508333e-06,47.39611603379344
275,6.73771e-06,47.55418051965342
276,6.9948305e-06,47.719546051941364
277,7.1995637e-06,47.97243584563053
278,7.570757e-06,48.179334489504164
279,7.966118e-06,48.37310833076542
280,8.242503e-06,48.656527617160954
281,8.5390175e-06,48.99815004105147
282,8.864554e-06,49.35428833426392
283,9.227402e-06,49.81565342500823
284,9.519449e-06,50.18314647956312
285,1.002792e-05,50.559180210291295
286,1.0569151e-05,51.01214851822057
287,1.0820085e-05,51.57189944092877
288,1.1279015e-05,52.0580203503669
289,1.1371848e-05,52.69635456056777
290,1.1911958e-05,53.24112124049808
291,1.2201541e-05,53.82166413906702
292,1.2747667e-05,54.34555105779573
293,1.3430516e-05,54.887156401372785
294,1.4302502e-05,55.374458810034355
295,1.45005215e-05,56.098436123450156
296,1.5094568e-05,56.705982681279906
297,1.5369877e-05,57.42565360745282
298,1.5944033e-05,58.00120286895174
299,1.646742e-05,58.6249683505191
300,1.6753997e-05,59.36588002876646
301,1.7910557e-05,59.81407944611807
302,1.8048764e-05,60.48031066676395
303,1.8686185e-05,61.12400092631476
304,1.846519e-05,61.85862219057946
305,1.8204024e-05,62.50335509295699
306,1.8704884e-05,63.06837457912424
307,1.8745955e-05,63.66183345151565
308,1.797739e-05,64.28957168091341
309,1.7631237e-05,64.885109813455
310,1.7413326e-05,65.44111864535347
311,1.657846e-05,66.06543636001655
312,1.6370755e-05,66.42614272696589
313,1.5248898e-05,66.88961700839016
314,1.4438919e-05,67.57367691677561
315,1.4381151e-05,67.88426840072569
316,1.3561284e-05,68.37262160142134
317,1.32168825e-05,68.64309242099766
318,1.4001518e-05,68.80547136391266
