Resolution,name,src_file,src_line,total_ns,total_perc,counts,mean_ns,min_ns,max_ns,std_ns
1104,RenderOverlay,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,424,648859,0.011002,69,9403,5218,196615,23026.510868
1104,GBufferPass,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,405,763051,0.012939,69,11058,1577,231014,42531.553908
1104,VolumeMarch,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,441,377650,0.006404,69,5473,2011,192924,22968.924886
1104,LightPass,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,433,94778,0.001607,69,1373,1036,3404,310.951315
1104,Input,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,234,91462,0.001551,69,1325,776,10375,1122.512446
1104,Update,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,248,259711196,4.403819,69,3763930,14066,258517161,31119695.279813
1120,RenderMirror,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,457,310266,0.005312,65,4773,3102,47116,5398.627107
1120,RenderBegin,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,358,1472492,0.025211,65,22653,7699,348874,46408.868240
1120,RenderFrame,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,146,9045621,0.154876,65,139163,70190,1391602,184521.396037
1120,tracy::D3D11Ctx::Collect,C:/Users/Adam/source/repos/uni/CMP400-Project/externals/tracy/public\tracy/TracyD3D11.hpp,177,651195,0.011150,65,10018,1851,26012,7944.302999
1120,RenderScene,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,374,1912009,0.032737,65,29415,14937,279187,44646.312948
1120,ExponentialShadowMap,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,381,693845,0.011880,65,10674,4370,263780,32313.690561
1120,BeerShadowMap,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,391,426185,0.007297,65,6556,5259,20677,2234.816166
1120,RenderOverlay,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,424,831573,0.014238,65,12793,4854,216286,35527.302408
1120,GBufferPass,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,405,508842,0.008712,65,7828,1563,208628,29066.309739
1120,VolumeMarch,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,441,568785,0.009739,65,8750,1905,211865,35402.630708
1120,LightPass,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,433,87865,0.001504,65,1351,977,2765,303.229183
1120,Input,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,234,76492,0.001310,65,1176,684,1862,220.012287
1120,Update,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,248,251117853,4.299551,65,3863351,13248,249966372,31002281.786538
1136,RenderMirror,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,457,364666,0.006148,61,5978,3434,72191,9349.862757
1136,RenderBegin,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,358,1399400,0.023591,61,22940,7562,330864,46793.821890
1136,RenderFrame,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,146,10198870,0.171934,61,167194,67754,2158539,291405.821823
1136,RenderScene,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,374,2185996,0.036852,61,35836,14920,691122,91594.570666
1136,ExponentialShadowMap,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,381,900957,0.015188,61,14769,4325,500555,63528.284383
1136,BeerShadowMap,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,391,382283,0.006445,61,6266,4918,14059,1475.940689
1136,RenderOverlay,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,424,886794,0.014950,61,14537,4989,212125,38008.954274
1136,GBufferPass,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,405,493022,0.008311,61,8082,1512,221126,31550.766013
1136,VolumeMarch,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,441,645947,0.010889,61,10589,1928,208059,37946.124561
1136,LightPass,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,433,85984,0.001450,61,1409,1084,7736,844.422377
1136,Input,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,234,150697,0.002540,61,2470,885,62598,8033.743514
1136,tracy::D3D11Ctx::Collect,C:/Users/Adam/source/repos/uni/CMP400-Project/externals/tracy/public\tracy/TracyD3D11.hpp,177,620832,0.010466,61,10177,1903,28185,8129.998341
1136,Update,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,248,245456319,4.137942,61,4023874,13078,244418278,31292338.774539
1152,RenderMirror,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,457,283957,0.004774,60,4732,3279,32967,3890.722609
1152,RenderBegin,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,358,1236435,0.020787,60,20607,7482,358534,46209.687476
1152,RenderFrame,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,146,12213863,0.205338,60,203564,70618,4267578,575404.349508
1152,tracy::D3D11Ctx::Collect,C:/Users/Adam/source/repos/uni/CMP400-Project/externals/tracy/public\tracy/TracyD3D11.hpp,177,606548,0.010197,60,10109,1506,23882,8100.921557
1152,RenderScene,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,374,4532232,0.076195,60,75537,15088,2585334,336169.632183
1152,ExponentialShadowMap,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,381,700036,0.011769,60,11667,4532,283591,36007.454071
1152,BeerShadowMap,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,391,395599,0.006651,60,6593,5073,20919,2388.292990
1152,RenderOverlay,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,424,957589,0.016099,60,15959,5099,222941,42696.514573
1152,GBufferPass,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,405,2997819,0.050399,60,49963,1573,2405658,314069.381779
1152,VolumeMarch,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,441,613848,0.010320,60,10230,1989,218927,39152.202903
1152,LightPass,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,433,172278,0.002896,60,2871,1024,89342,11376.299206
1152,Input,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,234,79804,0.001342,60,1330,682,6322,956.581254
1152,Update,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,248,238275990,4.005861,60,3971266,13889,237295186,30632530.759613
1168,VolumeMarch,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,441,584848,0.009979,58,10083,1927,243736,40108.757610
1168,RenderFrame,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,146,8780686,0.149816,58,151391,72679,2087918,273443.319395
1168,RenderMirror,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,457,250196,0.004269,58,4313,3234,9364,1145.509126
1168,RenderBegin,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,358,1179562,0.020126,58,20337,7708,194100,26835.632101
1168,RenderScene,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,374,1836245,0.031330,58,31659,15468,281665,46858.513151
1168,ExponentialShadowMap,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,381,653407,0.011148,58,11265,4854,266341,34445.481510
1168,GBufferPass,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,405,519257,0.008860,58,8952,1555,202668,30620.360193
1168,BeerShadowMap,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,391,419014,0.007149,58,7224,5015,25159,3630.961194
1168,LightPass,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,433,93050,0.001588,58,1604,1072,6363,771.560051
1168,tracy::D3D11Ctx::Collect,C:/Users/Adam/source/repos/uni/CMP400-Project/externals/tracy/public\tracy/TracyD3D11.hpp,177,597962,0.010202,58,10309,1723,29524,8255.155873
1168,RenderOverlay,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,424,830694,0.014173,58,14322,5233,249038,40273.422496
1168,Input,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,234,71833,0.001226,58,1238,819,6893,775.710257
1168,Update,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,248,236487332,4.034953,58,4077367,13196,235492762,30919424.394517
1184,RenderMirror,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,457,236250,0.003970,54,4375,3223,12703,1676.850338
1184,RenderBegin,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,358,1169661,0.019654,54,21660,8231,372509,50469.530128
1184,RenderFrame,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,146,9442811,0.158666,54,174866,71805,1840400,326551.582305
1184,tracy::D3D11Ctx::Collect,C:/Users/Adam/source/repos/uni/CMP400-Project/externals/tracy/public\tracy/TracyD3D11.hpp,177,633118,0.010638,54,11724,1859,90338,13351.712335
1184,RenderScene,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,374,2800663,0.047059,54,51864,14823,623683,112596.149613
1184,ExponentialShadowMap,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,381,790155,0.013277,54,14632,4097,246361,44912.545932
1184,BeerShadowMap,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,391,369603,0.006210,54,6844,5296,20322,2395.256511
1184,RenderOverlay,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,424,927289,0.015581,54,17172,5021,387511,58272.139449
1184,GBufferPass,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,405,812172,0.013647,54,15040,1563,422202,64491.814434
1184,VolumeMarch,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,441,329705,0.005540,54,6105,1854,203051,27316.548684
1184,LightPass,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,433,77272,0.001298,54,1430,1126,2159,204.871336
1184,Input,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,234,62635,0.001052,54,1159,833,1565,152.842316
1184,Update,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,248,252365496,4.240467,54,4673435,14159,251481761,34220064.060153
1200,RenderMirror,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,457,241435,0.004071,55,4389,3171,8732,922.658277
1200,RenderBegin,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,358,1300154,0.021921,55,23639,8284,254463,38738.165470
1200,RenderFrame,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,146,8530766,0.143833,55,155104,72632,1614651,224605.195561
1200,tracy::D3D11Ctx::Collect,C:/Users/Adam/source/repos/uni/CMP400-Project/externals/tracy/public\tracy/TracyD3D11.hpp,177,619486,0.010445,55,11263,1875,75973,11818.646151
1200,RenderScene,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,374,2607445,0.043963,55,47408,14990,509815,91222.522848
1200,ExponentialShadowMap,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,381,1144028,0.019289,55,20800,4428,347916,61508.457295
1200,BeerShadowMap,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,391,415785,0.007010,55,7559,5370,47085,5821.135345
1200,RenderOverlay,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,424,656942,0.011076,55,11944,5304,204001,27582.752337
1200,GBufferPass,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,405,545317,0.009194,55,9914,1570,231546,35764.561365
1200,VolumeMarch,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,441,381581,0.006434,55,6937,1942,199849,26992.664458
1200,LightPass,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,433,82853,0.001397,55,1506,1123,6787,778.805959
1200,Input,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,234,64450,0.001087,55,1171,823,1620,153.057058
