Resolution,name,src_file,src_line,total_ns,total_perc,counts,mean_ns,min_ns,max_ns,std_ns
2304,Input,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,234,21202,0.000378,14,1514,764,6000,1301.592693
2304,tracy::D3D11Ctx::Collect,C:/Users/Adam/source/repos/uni/CMP400-Project/externals/tracy/public\tracy/TracyD3D11.hpp,177,138318,0.002467,14,9879,1662,23754,8663.877778
2304,Update,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,248,267202245,4.766694,14,19085874,15856,266950466,71340336.992164
2320,RenderMirror,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,457,51927,0.000925,13,3994,3124,7436,1194.393326
2320,RenderBegin,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,358,519253,0.009247,13,39942,8207,307778,83652.927158
2320,RenderFrame,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,146,3557721,0.063354,13,273670,80400,1625041,427209.539200
2320,tracy::D3D11Ctx::Collect,C:/Users/Adam/source/repos/uni/CMP400-Project/externals/tracy/public\tracy/TracyD3D11.hpp,177,113898,0.002028,13,8761,1951,17614,7012.101023
2320,RenderScene,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,374,1177554,0.020969,13,90581,15597,486772,140797.232618
2320,ExponentialShadowMap,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,381,434268,0.007733,13,33405,4512,305576,82132.277914
2320,BeerShadowMap,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,391,92359,0.001645,13,7104,5804,13309,2356.672990
2320,RenderOverlay,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,424,349709,0.006227,13,26900,5245,245016,65666.922476
2320,GBufferPass,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,405,594815,0.010592,13,45755,1665,214877,79516.933755
2320,VolumeMarch,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,441,283041,0.005040,13,21772,1955,241447,66029.619184
2320,LightPass,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,433,18358,0.000327,13,1412,1230,1603,129.225900
