Samples,name,src_file,src_line,total_ns,total_perc,counts,mean_ns,min_ns,max_ns,std_ns
115,Update,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,248,238167375,4.241269,175,1360956,13818,234877008,17753605.269292
116,RenderBegin,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,358,3031137,0.054300,174,17420,8313,333913,28134.937889
116,RenderFrame,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,146,20436288,0.366096,174,117449,73520,1806294,144112.576335
116,RenderScene,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,374,4892124,0.087638,174,28115,16049,300718,39438.324998
116,ExponentialShadowMap,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,381,1556839,0.027889,174,8947,4604,284496,21411.267682
116,BeerShadowMap,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,391,1280471,0.022938,174,7359,5464,17172,1580.670910
116,RenderOverlay,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,424,1691770,0.030306,174,9722,5135,318503,28760.563237
116,RenderMirror,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,457,988411,0.017706,174,5680,3262,212354,15797.273709
116,GBufferPass,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,405,1254820,0.022479,174,7211,1560,248324,31599.636336
116,VolumeMarch,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,441,961245,0.017220,174,5524,1969,313458,28634.835728
116,LightPass,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,433,264456,0.004737,174,1519,1084,7480,593.860603
116,tracy::D3D11Ctx::Collect,C:/Users/Adam/source/repos/uni/CMP400-Project/externals/tracy/public\tracy/TracyD3D11.hpp,177,2039645,0.036538,174,11722,1892,37388,9441.263326
116,Input,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,234,222182,0.003980,174,1276,706,5197,364.800270
116,Update,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,248,217972174,3.904758,174,1252713,13452,214933813,16292759.017595
117,RenderMirror,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,457,1050300,0.018602,177,5933,3199,215608,16165.433099
117,RenderBegin,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,358,2821230,0.049967,177,15939,7425,292162,23708.509441
117,RenderFrame,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,146,21292193,0.377110,177,120294,70714,1752370,145273.752302
117,tracy::D3D11Ctx::Collect,C:/Users/Adam/source/repos/uni/CMP400-Project/externals/tracy/public\tracy/TracyD3D11.hpp,177,2104211,0.037268,177,11888,1867,108957,11720.754107
117,RenderScene,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,374,5438304,0.096319,177,30724,15374,501049,56215.837023
117,ExponentialShadowMap,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,381,1455046,0.025771,177,8220,4596,287021,21376.808521
