Samples,name,src_file,src_line,total_ns,total_perc,counts,mean_ns,min_ns,max_ns,std_ns
86,Input,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,234,207260,0.003684,167,1241,793,9849,722.941961
86,Update,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,248,227840761,4.049366,167,1364315,13689,224961141,17406673.596765
87,RenderMirror,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,457,1038807,0.018412,173,6004,3216,199702,15230.413918
87,RenderBegin,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,358,2770304,0.049101,173,16013,7328,414827,32173.844063
87,RenderFrame,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,146,20730547,0.367429,173,119829,69914,1758306,159188.682073
87,tracy::D3D11Ctx::Collect,C:/Users/Adam/source/repos/uni/CMP400-Project/externals/tracy/public\tracy/TracyD3D11.hpp,177,1927916,0.034170,173,11144,1932,26126,8711.193227
87,RenderScene,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,374,5435057,0.096331,173,31416,15323,694411,70928.662643
87,ExponentialShadowMap,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,381,1715332,0.030403,173,9915,4451,355283,32507.496085
87,BeerShadowMap,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,391,1177462,0.020869,173,6806,4988,38283,3008.947894
87,RenderOverlay,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,424,1474131,0.026128,173,8520,5241,202084,16553.445461
87,GBufferPass,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,405,994131,0.017620,173,5746,1603,227265,24466.931972
87,VolumeMarch,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,441,711167,0.012605,173,4110,1980,197750,16138.461671
87,LightPass,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,433,270699,0.004798,173,1564,1059,15311,1212.123682
