Samples,name,src_file,src_line,total_ns,total_perc,counts,mean_ns,min_ns,max_ns,std_ns
162,RenderOverlay,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,424,1411781,0.026314,170,8304,5063,201737,16698.591700
162,GBufferPass,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,405,1262797,0.023537,170,7428,1536,236380,31458.515728
162,VolumeMarch,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,441,688558,0.012834,170,4050,1827,197932,16003.321379
162,LightPass,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,433,280334,0.005225,170,1649,1050,40911,3193.067444
162,Input,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,234,213909,0.003987,170,1258,756,6848,540.254110
162,Update,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,248,275435640,5.133794,170,1620209,12583,272413742,20891810.113986
163,GBufferPass,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,405,1381314,0.024408,186,7426,1544,448988,38812.323344
163,RenderFrame,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,146,23697672,0.418741,186,127406,69688,1902187,188362.092910
163,ExponentialShadowMap,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,381,2685626,0.047455,186,14438,4469,977043,75407.946452
163,RenderScene,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,374,6332350,0.111893,186,34044,15084,1093977,92527.205869
163,VolumeMarch,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,441,760968,0.013446,186,4091,1888,194162,15523.096771
163,RenderOverlay,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,424,1592656,0.028142,186,8562,4954,198015,16269.682198
163,LightPass,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,433,289626,0.005118,186,1557,1062,15498,1408.069528
163,RenderBegin,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,358,3362386,0.059414,186,18077,6630,480651,44725.797993
163,RenderMirror,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,457,1020063,0.018025,186,5484,3131,185071,13338.283000
163,BeerShadowMap,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,391,1394624,0.024643,186,7497,5099,163069,11854.921304
163,Input,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,234,235142,0.004155,186,1264,728,9803,675.426184
163,tracy::D3D11Ctx::Collect,C:/Users/Adam/source/repos/uni/CMP400-Project/externals/tracy/public\tracy/TracyD3D11.hpp,177,2144576,0.037895,186,11529,1906,97954,10719.009861
163,Update,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,248,263080572,4.648669,186,1414411,13797,259257916,19008227.620336
164,RenderMirror,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,457,1057399,0.018928,182,5809,3242,198941,14536.890693
164,RenderBegin,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,358,2661890,0.047649,182,14625,6898,268974,21470.380531
164,RenderFrame,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,146,21541156,0.385599,182,118358,67142,1587763,136407.326876
164,tracy::D3D11Ctx::Collect,C:/Users/Adam/source/repos/uni/CMP400-Project/externals/tracy/public\tracy/TracyD3D11.hpp,177,2216867,0.039683,182,12180,2031,133062,13186.489772
164,RenderScene,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,374,4944306,0.088506,182,27166,14671,452535,47902.351076
164,ExponentialShadowMap,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,381,1832798,0.032808,182,10070,4353,256285,30614.081884
164,BeerShadowMap,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,391,1164534,0.020846,182,6398,5077,21088,1660.830728
164,RenderOverlay,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,424,1356176,0.024276,182,7451,5090,211637,15333.612435
164,GBufferPass,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,405,986906,0.017666,182,5422,1535,198799,24316.200932
164,VolumeMarch,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,441,633103,0.011333,182,3478,1922,207323,15215.122293
164,LightPass,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,433,257832,0.004615,182,1416,1050,13292,907.478170
164,Input,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,234,248943,0.004456,182,1367,885,11482,781.084347
164,Update,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,248,272128589,4.871256,182,1495212,13521,268907161,19931406.012997
165,RenderMirror,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,457,1102946,0.019687,179,6161,3227,200035,16031.514136
165,RenderBegin,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,358,2496414,0.044560,179,13946,6780,152746,15128.144585
165,RenderFrame,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,146,21455461,0.382971,179,119862,68617,1709476,150755.216227
165,tracy::D3D11Ctx::Collect,C:/Users/Adam/source/repos/uni/CMP400-Project/externals/tracy/public\tracy/TracyD3D11.hpp,177,2331776,0.041621,179,13026,1918,269502,23027.472744
165,RenderScene,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,374,5530335,0.098714,179,30895,14846,573409,65276.829110
165,ExponentialShadowMap,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,381,1557118,0.027794,179,8698,4410,269110,26287.606620
165,BeerShadowMap,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,391,1206537,0.021536,179,6740,5159,45003,3270.002380
165,RenderOverlay,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,424,1347933,0.024060,179,7530,5186,208564,15244.708342
165,GBufferPass,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,405,1515421,0.027050,179,8466,1529,544010,50403.030249
165,VolumeMarch,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,441,638608,0.011399,179,3567,1860,204647,15189.471972
165,LightPass,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,433,253055,0.004517,179,1413,1108,3085,277.688917
165,Input,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,234,222669,0.003975,179,1243,732,11278,782.946818
165,Update,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,248,272854562,4.870342,179,1524327,13562,269655693,20153670.277607
166,RenderMirror,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,457,991390,0.018013,175,5665,3088,202316,15130.214030
166,RenderBegin,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,358,2738525,0.049759,175,15648,7263,296013,24825.001898
166,RenderFrame,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,146,21205310,0.385298,175,121173,71233,1660812,149286.726927
166,tracy::D3D11Ctx::Collect,C:/Users/Adam/source/repos/uni/CMP400-Project/externals/tracy/public\tracy/TracyD3D11.hpp,177,2052370,0.037291,175,11727,1863,91821,11727.584425
166,RenderScene,C:\Users\Adam\source\repos\uni\CMP400-Project\src\Window\HaboobWindow.cpp,374,5288015,0.096083,175,30217,15132,536302,62050.669752
